variant,date,decision_hour,risk_mode,horizon_slots,simultaneous_flow_slots,simultaneous_flow_max_kwh,max_eq_residual_kwh,solver_status
q2_fixed_clustered,2025-09-01,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-09-02,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-09-03,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-09-04,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-09-05,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-09-06,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-09-07,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-09-08,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-09-09,0,clustered,144,0,0.0,2.7284841053187847e-12,optimal
q2_fixed_clustered,2025-09-10,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-09-11,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-09-12,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-09-13,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-09-14,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-09-15,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-09-16,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-09-17,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-09-18,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-09-19,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-09-20,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-09-21,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-09-22,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-09-23,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-09-24,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-09-25,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-09-26,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-09-27,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-09-28,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-09-29,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-09-30,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-10-01,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-10-02,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-10-03,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-10-04,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-10-05,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-10-06,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-10-07,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-10-08,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-10-09,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
